longitude,latitude,IPaddress
36.1750,-115.1372,209.141.50.178
32.7831,-96.8067,199.249.230.104
10.8230,106.6296,123.30.128.138
40.7143,-74.0060,185.220.103.7
47.4018,-122.3243,23.129.64.149
52.1277,11.6292,185.220.100.254
47.3667,8.5500,94.230.208.147
47.5461,9.6843,185.220.100.252
52.3740,4.8897,37.139.8.104
47.5461,9.6843,185.220.100.240
49.6117,6.1300,104.244.74.97
32.7831,-96.8067,199.249.230.102
47.0056,28.8575,178.17.174.198
52.5650,13.7281,185.220.101.17
47.4018,-122.3243,23.129.64.157
32.7831,-96.8067,199.249.230.64
45.5040,-73.5747,51.161.43.235
47.4018,-122.3243,23.129.64.155
37.5660,126.9784,180.150.226.99
48.8157,2.3849,95.128.43.164
47.5461,9.6843,185.220.100.250
-22.9064,-43.1822,189.84.21.44
48.2085,16.3721,109.70.100.31
32.7831,-96.8067,199.249.230.100
55.7522,37.6156,45.140.170.187
48.2085,16.3721,109.70.100.45
47.0505,8.3064,185.222.202.104
40.4993,-74.3990,198.98.51.189
47.5461,9.6843,185.220.100.253
47.4018,-122.3243,23.129.64.148
44.4323,26.1063,93.115.241.194
52.3740,4.8897,192.42.116.16
47.4018,-122.3243,23.129.64.154
49.6117,6.1300,104.244.77.199
4.6948,-74.1036,181.119.30.26
47.3667,8.5500,195.176.3.24
47.0056,28.8575,178.17.174.14
39.2305,9.1192,94.32.66.15
59.3294,18.0687,62.102.148.68
47.5461,9.6843,185.220.100.252
45.7485,4.8467,89.234.157.254
51.0509,13.7383,87.118.116.12
47.0056,28.8575,178.17.174.196
32.7831,-96.8067,199.249.230.80
47.5461,9.6843,185.220.100.251
47.3667,8.5500,176.10.99.200
49.0370,2.6965,51.38.233.93
59.3294,18.0687,171.25.193.20
36.1750,-115.1372,209.141.54.195
49.8844,-97.1470,192.160.102.168
47.4018,-122.3243,23.129.64.140
60.1695,24.9354,185.100.86.182
52.5650,13.7281,185.220.101.6
40.7143,-74.0060,185.220.103.5
47.4018,-122.3243,23.129.64.156
47.4018,-122.3243,23.129.64.135
48.8534,2.3488,178.20.55.16
59.3294,18.0687,151.237.185.110
52.4238,9.4359,185.220.100.245
40.7608,-111.8911,166.70.207.2
49.2803,11.4628,185.220.101.213
47.4018,-122.3243,23.129.64.141
51.2217,6.7762,89.163.143.8
49.2803,11.4628,185.220.101.141
47.9077,106.8832,180.149.125.139
49.2803,11.4628,185.220.101.148
49.9808,36.2527,217.12.221.131
47.0056,28.8575,178.17.174.211
41.0138,28.9497,185.65.206.154
